"Genome ID","Genome Name","Version","Genome Length","No. Contigs","Smallest Contig","Largest Contig","Average Contig Length","N50","non-ATCG","GC Content"
"64d3c1cf177ad4292d5ab13d","AYCs024","v3",2104015,549,78,194552,3832,58810,0,"39.8"
"64d3c1cf177ad42f2c5ab16a","AYCs080","v3",2269554,2340,78,125922,969,35861,0,"40.4"
"64d3c1cf177ad42f8e5ab133","AYCs014","v3",2130340,729,78,116703,2922,55548,0,"39.8"
"64d3c1cf177ad432535ab155","AYCs056","v3",2238385,1689,77,176244,1325,61865,0,"40.2"
"64d3c1cf177ad433305ab129","AYCs004","v3",2124679,799,78,116751,2659,57705,0,"39.8"
"64d3c1cf177ad434615ab15c","AYCs066","v3",2338443,3339,78,122598,700,21898,0,"40.9"
"64d3c1cf177ad438065ab154","AYCs055","v3",2201324,1761,77,120352,1250,40225,0,"40.3"
"64d3c1cf177ad43b6f5ab127","AYCs002","v3",2150158,1080,75,194462,1990,55548,0,"40.0"
"64d3c1cf177ad43e945ab151","AYCs050","v3",2198649,1712,78,90588,1284,30266,0,"40.3"
"64d3c1cf177ad441395ab152","AYCs053","v3",2198506,1707,78,95875,1287,26856,0,"40.3"
"64d3c1cf177ad441685ab143","AYCs030","v3",2160969,1390,77,124599,1554,36592,0,"40.2"
"64d3c1cf177ad4462a5ab169","AYCs079","v3",2159663,1155,78,202851,1869,41928,0,"39.9"
"64d3c1cf177ad449b85ab12c","AYCs007","v3",2129057,819,78,116320,2599,55548,0,"39.9"
"64d3c1cf177ad4526f5ab130","AYCs011","v3",2136796,915,78,141570,2335,55548,0,"39.9"
"64d3c1cf177ad453025ab12e","AYCs009","v3",2123639,811,77,137460,2618,54881,0,"39.8"
"64d3c1cf177ad454c45ab134","AYCs015","v3",2103419,619,78,173273,3398,61067,0,"39.8"
"64d3c1cf177ad454cc5ab175","AYCs091","v3",2249196,2208,78,94301,1018,26659,0,"40.4"
"64d3c1cf177ad455055ab173","AYCs089","v3",2248365,2335,77,84381,962,21231,0,"40.5"
"64d3c1cf177ad455ff5ab136","AYCs017","v3",2127508,655,78,114979,3248,55577,0,"40.1"
"64d3c1cf177ad459e05ab144","AYCs031","v3",2277434,2540,77,130357,896,38282,0,"40.7"
"64d3c1cf177ad45a705ab170","AYCs086","v3",2144080,1030,78,157927,2081,45168,0,"40.0"
"64d3c1cf177ad45deb5ab16c","AYCs082","v3",2866245,7599,74,80089,377,21838,0,"42.1"
"64d3c1cf177ad463a25ab132","AYCs013","v3",2159085,1115,78,103992,1936,40534,1,"40.0"
"64d3c1cf177ad467d95ab14d","AYCs045","v3",2674019,6642,73,118350,402,26762,0,"41.0"
"64d3c1cf177ad468505ab149","AYCs037","v3",2088052,537,76,176326,3888,58644,0,"39.8"
"64d3c1cf177ad469235ab16b","AYCs081","v3",2235380,2059,78,147145,1085,25416,0,"40.3"
"64d3c1cf177ad46a615ab13c","AYCs023","v3",2092583,474,78,142667,4414,57115,0,"39.8"
"64d3c1cf177ad46e1e5ab158","AYCs061","v3",2092757,564,78,98748,3710,37908,0,"39.7"
"64d3c1cf177ad46e9c5ab156","AYCs057","v3",2102719,670,78,197743,3138,74165,0,"39.8"
"64d3c1cf177ad46f785ab135","AYCs016","v3",2113975,691,78,116284,3059,55548,0,"39.8"
"64d3c1cf177ad471b55ab131","AYCs012","v3",2125124,797,78,119142,2666,55976,0,"39.9"
"64d3c1cf177ad471c95ab166","AYCs076","v3",2187548,1657,78,59840,1320,22965,0,"40.1"
"64d3c1cf177ad473b65ab148","AYCs036","v3",2273824,2245,78,66362,1012,17459,0,"40.6"
"64d3c1cf177ad477185ab139","AYCs020","v3",2170528,1185,76,139086,1831,54204,0,"39.9"
"64d3c1cf177ad4779d5ab172","AYCs088","v3",2149360,1134,77,105737,1895,47674,0,"40.0"
"64d3c1cf177ad47ad85ab159","AYCs062","v3",2101294,601,78,166076,3496,53463,0,"39.8"
"64d3c1cf177ad485835ab167","AYCs077","v3",2115252,932,78,159127,2269,35158,0,"39.9"
"64d3c1cf177ad487005ab161","AYCs071","v3",2428506,4219,78,68695,575,15004,0,"40.8"
"64d3c1cf177ad48aec5ab12f","AYCs010","v3",2183334,1171,78,137922,1864,55577,0,"40.1"
"64d3c1cf177ad48fa05ab15f","AYCs069","v3",2219003,2168,78,85282,1023,22503,0,"40.4"
"64d3c1cf177ad495b85ab177","AYCs093","v3",2142237,895,78,113907,2393,53516,0,"39.9"
"64d3c1cf177ad498495ab12b","AYCs006","v3",3267293,5853,78,113589,558,13899,0,"41.8"
"64d3c1cf177ad4a5395ab178","AYCs094","v3",2204844,1905,77,132515,1157,43674,0,"40.4"
"64d3c1cf177ad4a5eb5ab14b","AYCs041","v3",2114602,845,78,176383,2502,60144,0,"39.9"
"64d3c1cf177ad4ac515ab145","AYCs033","v3",2241835,2148,78,85253,1043,29476,0,"40.4"
"64d3c1cf177ad4ae6b5ab13f","AYCs026","v3",2128011,848,77,115186,2509,55548,0,"39.9"
"64d3c1cf177ad4b28d5ab14c","AYCs042","v3",2234749,2070,77,176428,1079,38128,0,"40.3"
"64d3c1cf177ad4b3355ab147","AYCs035","v3",1670903,1173,78,83309,1424,38156,0,"40.6"
"64d3c1cf177ad4b4165ab146","AYCs034","v3",2187023,1431,77,162979,1528,58786,0,"40.1"
"64d3c1cf177ad4bea05ab13a","AYCs021","v3",2198449,1559,77,113011,1410,47954,0,"40.0"
"64d3c1cf177ad4c35e5ab13b","AYCs022","v3",2123684,817,78,194462,2599,55577,0,"39.9"
"64d3c1cf177ad4c6d65ab179","AYCs095","v3",2176692,1599,77,85282,1361,31160,0,"40.2"
"64d3c1cf177ad4c8955ab16e","AYCs084","v3",2091087,565,78,153518,3701,54560,0,"39.8"
"64d3c1cf177ad4ca9c5ab14e","AYCs047","v3",2176961,1471,78,130667,1479,40313,0,"40.1"
"64d3c1cf177ad4cd885ab171","AYCs087","v3",2130709,1091,78,153518,1952,29864,0,"40.1"
"64d3c1cf177ad4d1ff5ab176","AYCs092","v3",2310945,2962,78,74710,780,16041,0,"40.7"
"64d3c1cf177ad4da2e5ab12a","AYCs005","v3",4864681,26501,70,83947,183,148,2,"45.1"
"64d3c1cf177ad4dad25ab168","AYCs078","v3",2152943,1005,78,157927,2142,46746,0,"39.8"
"64d3c1cf177ad4db1c5ab16f","AYCs085","v3",2099897,814,78,71174,2579,28386,0,"40.0"
"64d3c1cf177ad4dddc5ab14a","AYCs038","v3",2148436,1079,78,129867,1991,64841,0,"40.0"
"64d3c1cf177ad4e2dd5ab164","AYCs074","v3",2113252,2476,78,86019,853,4587,0,"41.7"
"64d3c1cf177ad4e53d5ab15e","AYCs068","v3",2224271,2560,78,55188,868,10047,0,"40.7"
"64d3c1cf177ad4f74c5ab15d","AYCs067","v3",2237299,2098,78,109677,1066,28994,0,"40.4"
"64d3c1cf177ad4f9bc5ab160","AYCs070","v3",2287007,2685,78,59418,851,18836,0,"40.5"
"64d3c1cf177ad4fd2d5ab14f","AYCs048","v3",2208975,1829,77,136847,1207,33154,0,"40.3"
"64d3c1cf177ad4ffed5ab141","AYCs028","v3",2182077,1406,78,103986,1551,50904,0,"40.0"
