accession,start,end,cds_product
CP131710.1,1324001,1323075,Error: 'ExactPosition' object has no attribute 'position'
CP131710.1,198135,198464,Error: 'BeforePosition' object has no attribute 'position'
CP131710.1,153016,153651,Error: 'BeforePosition' object has no attribute 'position'
CP016633.2,332657,333628,Error: 'ExactPosition' object has no attribute 'position'
CP016633.2,1240612,1239686,Error: 'ExactPosition' object has no attribute 'position'
CP016633.2,95380,96015,Error: 'BeforePosition' object has no attribute 'position'
CP016633.2,141526,141855,Error: 'BeforePosition' object has no attribute 'position'
CP016632.2,335003,335974,Error: 'ExactPosition' object has no attribute 'position'
CP016632.2,1256390,1255464,Error: 'ExactPosition' object has no attribute 'position'
CP016632.2,96454,97089,Error: 'BeforePosition' object has no attribute 'position'
CP016632.2,143280,143609,Error: 'BeforePosition' object has no attribute 'position'
CP137100.1,1442305,1443276,No matching CDS
CP137100.1,206934,206008,No matching CDS
CP137100.1,1212303,1212938,No matching CDS
CP137100.1,1249528,1249857,No matching CDS
CP016227.1,349889,350860,Error: 'ExactPosition' object has no attribute 'position'
CP016227.1,1256021,1255647,Error: 'ExactPosition' object has no attribute 'position'
CP016227.1,111643,112278,Error: 'BeforePosition' object has no attribute 'position'
CP016227.1,158923,159252,Error: 'BeforePosition' object has no attribute 'position'
CP035265.1,337777,338748,Error: 'ExactPosition' object has no attribute 'position'
CP035265.1,1225204,1224278,Error: 'ExactPosition' object has no attribute 'position'
CP035265.1,100702,101337,Error: 'BeforePosition' object has no attribute 'position'
CP035265.1,133176,133505,Error: 'BeforePosition' object has no attribute 'position'
CP035264.1,373875,374846,Error: 'ExactPosition' object has no attribute 'position'
CP035264.1,1260255,1259329,Error: 'ExactPosition' object has no attribute 'position'
CP035264.1,136798,137433,Error: 'BeforePosition' object has no attribute 'position'
CP035264.1,169272,169601,Error: 'BeforePosition' object has no attribute 'position'
FM211187.1,311225,312196,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,1303052,1302126,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,1721370,1720585,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,1713369,1712734,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,1710035,1709358,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,1717766,1717506,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,1717522,1717133,Error: 'ExactPosition' object has no attribute 'position'
FM211187.1,139477,139806,Error: 'BeforePosition' object has no attribute 'position'
FM211187.1,104807,105442,Error: 'BeforePosition' object has no attribute 'position'
CR931685.1,9548,10519,Error: 'ExactPosition' object has no attribute 'position'
AF057294.1,9707,10678,Error: 'ExactPosition' object has no attribute 'position'
AF030373.1,10166,11137,Error: 'ExactPosition' object has no attribute 'position'
CP113267.1,1735739,1734768,Error: 'ExactPosition' object has no attribute 'position'
CP113267.1,1110563,1109637,Error: 'ExactPosition' object has no attribute 'position'
CP113267.1,427579,428364,Error: 'BeforePosition' object has no attribute 'position'
CP113267.1,437348,437983,Error: 'BeforePosition' object has no attribute 'position'
CP113267.1,431755,432441,Error: 'BeforePosition' object has no attribute 'position'
CP113267.1,440834,441358,Error: 'BeforePosition' object has no attribute 'position'
CP113267.1,440682,440888,Error: 'BeforePosition' object has no attribute 'position'
CP113267.1,90107,90742,Error: 'BeforePosition' object has no attribute 'position'
CP113267.1,129445,129774,Error: 'BeforePosition' object has no attribute 'position'
LT594598.1,10249,11208,Error: 'BeforePosition' object has no attribute 'position'
CR931684.1,10258,11217,Error: 'BeforePosition' object has no attribute 'position'
EU675999.1,11104,10136,Error: 'ExactPosition' object has no attribute 'position'
CR931704.1,8373,9311,Error: 'BeforePosition' object has no attribute 'position'
KY009533.1,7405,8343,Error: 'BeforePosition' object has no attribute 'position'
KX470740.1,7960,8898,Error: 'BeforePosition' object has no attribute 'position'
KX470741.1,7960,8898,Error: 'BeforePosition' object has no attribute 'position'
CR931706.1,8711,9649,Error: 'BeforePosition' object has no attribute 'position'
KY084477.1,7914,8852,Error: 'BeforePosition' object has no attribute 'position'
CR931715.1,8580,9518,Error: 'BeforePosition' object has no attribute 'position'
LR216069.1,426569,427507,Error: 'BeforePosition' object has no attribute 'position'
LR216069.1,1338783,1337857,Error: 'BeforePosition' object has no attribute 'position'
LR216069.1,240694,241023,Error: 'BeforePosition' object has no attribute 'position'
LR216069.1,202872,203507,Error: 'BeforePosition' object has no attribute 'position'
LR216028.1,301925,302569,Error: 'ExactPosition' object has no attribute 'position'
LR216028.1,1344336,1343410,Error: 'BeforePosition' object has no attribute 'position'
LR216028.1,300900,301502,Error: 'BeforePosition' object has no attribute 'position'
LR216028.1,85564,86199,Error: 'BeforePosition' object has no attribute 'position'
LR216028.1,125380,125709,Error: 'BeforePosition' object has no attribute 'position'
CP113115.1,102784,102140,Error: 'ExactPosition' object has no attribute 'position'
CP113115.1,1350190,1351116,Error: 'BeforePosition' object has no attribute 'position'
CP113115.1,103809,103207,Error: 'ExactPosition' object has no attribute 'position'
CP113115.1,275507,275178,Error: 'ExactPosition' object has no attribute 'position'
CP113115.1,313664,313029,Error: 'ExactPosition' object has no attribute 'position'
CP113114.1,422482,423126,Error: 'ExactPosition' object has no attribute 'position'
CP113114.1,1455390,1454464,Error: 'ExactPosition' object has no attribute 'position'
CP113114.1,421457,422059,Error: 'BeforePosition' object has no attribute 'position'
CP113114.1,249759,250088,Error: 'BeforePosition' object has no attribute 'position'
CP113114.1,211602,212237,Error: 'BeforePosition' object has no attribute 'position'
CR931663.1,9351,9995,Error: 'ExactPosition' object has no attribute 'position'
CR931663.1,8315,9088,Error: 'ExactPosition' object has no attribute 'position'
KY750635.1,9818,10462,Error: 'ExactPosition' object has no attribute 'position'
KY750635.1,8794,9555,Error: 'BeforePosition' object has no attribute 'position'
KY750643.1,9148,9792,Error: 'ExactPosition' object has no attribute 'position'
KY750643.1,8124,8885,Error: 'BeforePosition' object has no attribute 'position'
CR931665.1,9307,9951,Error: 'ExactPosition' object has no attribute 'position'
CR931665.1,8283,9044,Error: 'BeforePosition' object has no attribute 'position'
CR931664.1,9307,9951,Error: 'ExactPosition' object has no attribute 'position'
CR931664.1,8283,9044,Error: 'BeforePosition' object has no attribute 'position'
KY750647.1,9155,9799,Error: 'ExactPosition' object has no attribute 'position'
KY750647.1,8131,8892,Error: 'BeforePosition' object has no attribute 'position'
KY750648.1,9508,10152,Error: 'ExactPosition' object has no attribute 'position'
KY750648.1,8484,9245,Error: 'BeforePosition' object has no attribute 'position'
KY750639.1,9710,10354,Error: 'ExactPosition' object has no attribute 'position'
KY750639.1,8686,9447,Error: 'BeforePosition' object has no attribute 'position'
KY750644.1,9752,10396,Error: 'ExactPosition' object has no attribute 'position'
KY750644.1,8728,9489,Error: 'BeforePosition' object has no attribute 'position'
KY750634.1,9752,10396,Error: 'ExactPosition' object has no attribute 'position'
KY750634.1,8728,9489,Error: 'BeforePosition' object has no attribute 'position'
KY750638.1,9801,10445,Error: 'ExactPosition' object has no attribute 'position'
KY750638.1,8777,9538,Error: 'BeforePosition' object has no attribute 'position'
KY750640.1,9820,10464,Error: 'ExactPosition' object has no attribute 'position'
KY750640.1,8796,9557,Error: 'BeforePosition' object has no attribute 'position'
KY750633.1,9820,10464,Error: 'ExactPosition' object has no attribute 'position'
KY750633.1,8796,9557,Error: 'BeforePosition' object has no attribute 'position'
KY750637.1,9834,10478,Error: 'ExactPosition' object has no attribute 'position'
KY750637.1,8810,9571,Error: 'BeforePosition' object has no attribute 'position'
CR931666.1,9702,10346,Error: 'ExactPosition' object has no attribute 'position'
CR931666.1,8666,9439,Error: 'ExactPosition' object has no attribute 'position'
LR216046.1,452660,453304,Error: 'ExactPosition' object has no attribute 'position'
LR216046.1,1371214,1370288,Error: 'BeforePosition' object has no attribute 'position'
LR216046.1,451636,452397,Error: 'BeforePosition' object has no attribute 'position'
LR216046.1,241253,241582,Error: 'BeforePosition' object has no attribute 'position'
LR216046.1,199786,200421,Error: 'BeforePosition' object has no attribute 'position'
LR216066.1,329946,330590,Error: 'ExactPosition' object has no attribute 'position'
LR216066.1,1325711,1324785,Error: 'BeforePosition' object has no attribute 'position'
LR216066.1,1582047,1581373,Error: 'BeforePosition' object has no attribute 'position'
LR216066.1,328922,329683,Error: 'BeforePosition' object has no attribute 'position'
LR216066.1,121095,121730,Error: 'BeforePosition' object has no attribute 'position'
LR216066.1,167025,167354,Error: 'BeforePosition' object has no attribute 'position'
LR216052.1,311254,311898,Error: 'ExactPosition' object has no attribute 'position'
LR216052.1,1222905,1221979,Error: 'BeforePosition' object has no attribute 'position'
LR216052.1,310230,310991,Error: 'BeforePosition' object has no attribute 'position'
LR216052.1,92522,93157,Error: 'BeforePosition' object has no attribute 'position'
LR216052.1,130410,130739,Error: 'BeforePosition' object has no attribute 'position'
CP126249.1,291054,291698,No matching CDS
CP126249.1,1200085,1199159,No matching CDS
CP126249.1,1576274,1575639,No matching CDS
CP126249.1,1583635,1582850,No matching CDS
CP126249.1,1580639,1580010,No matching CDS
CP126249.1,290030,290791,No matching CDS
CP126249.1,1572788,1572264,No matching CDS
CP126249.1,1572940,1572734,No matching CDS
CP126249.1,92926,93561,No matching CDS
CP126249.1,119000,119329,No matching CDS
LR216058.1,288907,289551,Error: 'ExactPosition' object has no attribute 'position'
LR216058.1,1144733,1143807,Error: 'BeforePosition' object has no attribute 'position'
LR216058.1,1635470,1634835,Error: 'BeforePosition' object has no attribute 'position'
LR216058.1,1639838,1639206,Error: 'BeforePosition' object has no attribute 'position'
LR216058.1,1632136,1631459,Error: 'BeforePosition' object has no attribute 'position'
LR216058.1,287883,288644,Error: 'BeforePosition' object has no attribute 'position'
LR216058.1,91396,92031,Error: 'BeforePosition' object has no attribute 'position'
LR216058.1,117538,117867,Error: 'BeforePosition' object has no attribute 'position'
CP137107.1,742510,741866,No matching CDS
CP137107.1,1954985,1955911,No matching CDS
CP137107.1,1586903,1587538,No matching CDS
CP137107.1,1579540,1580325,No matching CDS
CP137107.1,1590237,1590917,No matching CDS
CP137107.1,1582536,1582796,No matching CDS
CP137107.1,1582772,1583167,No matching CDS
CP137107.1,743534,742773,No matching CDS
CP137107.1,954987,954352,No matching CDS
CP137107.1,916118,915789,No matching CDS
CP060156.1,344473,345117,Error: 'ExactPosition' object has no attribute 'position'
CP060156.1,1273933,1273007,Error: 'ExactPosition' object has no attribute 'position'
CP060156.1,1713101,1712466,Error: 'ExactPosition' object has no attribute 'position'
CP060156.1,1709767,1709090,Error: 'ExactPosition' object has no attribute 'position'
CP060156.1,1717467,1717210,Error: 'ExactPosition' object has no attribute 'position'
CP060156.1,1717226,1716837,Error: 'ExactPosition' object has no attribute 'position'
CP060156.1,343449,344210,Error: 'BeforePosition' object has no attribute 'position'
CP060156.1,145450,146085,Error: 'BeforePosition' object has no attribute 'position'
CP060156.1,171566,171895,Error: 'BeforePosition' object has no attribute 'position'
X85787.1,9524,10168,Error: 'ExactPosition' object has no attribute 'position'
X85787.1,8498,9100,Error: 'BeforePosition' object has no attribute 'position'
HE651314.1,7069,7713,Error: 'ExactPosition' object has no attribute 'position'
HE651314.1,6044,6646,Error: 'BeforePosition' object has no attribute 'position'
CR931662.1,9304,9948,Error: 'ExactPosition' object has no attribute 'position'
CR931662.1,8279,8881,Error: 'BeforePosition' object has no attribute 'position'
OM328062.1,7281,7925,Error: 'BeforePosition' object has no attribute 'position'
OM328062.1,6256,6858,Error: 'BeforePosition' object has no attribute 'position'
LR216025.1,284730,285374,Error: 'ExactPosition' object has no attribute 'position'
LR216025.1,1166271,1165345,Error: 'BeforePosition' object has no attribute 'position'
LR216025.1,283705,284307,Error: 'BeforePosition' object has no attribute 'position'
LR216025.1,81649,82284,Error: 'BeforePosition' object has no attribute 'position'
LR216025.1,114693,115022,Error: 'BeforePosition' object has no attribute 'position'
CP035259.1,329379,330023,Error: 'ExactPosition' object has no attribute 'position'
CP035259.1,1255172,1254246,Error: 'ExactPosition' object has no attribute 'position'
CP035259.1,328354,328956,Error: 'BeforePosition' object has no attribute 'position'
CP035259.1,117405,118040,Error: 'BeforePosition' object has no attribute 'position'
CP035259.1,155712,156041,Error: 'BeforePosition' object has no attribute 'position'
LS483417.1,335851,336495,Error: 'ExactPosition' object has no attribute 'position'
LS483417.1,1260964,1260038,Error: 'ExactPosition' object has no attribute 'position'
LS483417.1,334826,335428,Error: 'BeforePosition' object has no attribute 'position'
LS483417.1,118475,119110,Error: 'BeforePosition' object has no attribute 'position'
LS483417.1,164684,165013,Error: 'BeforePosition' object has no attribute 'position'
FQ312029.1,316885,317529,Error: 'ExactPosition' object has no attribute 'position'
FQ312029.1,1246316,1245390,Error: 'ExactPosition' object has no attribute 'position'
FQ312029.1,1620948,1620601,Error: 'ExactPosition' object has no attribute 'position'
FQ312029.1,315860,316462,Error: 'BeforePosition' object has no attribute 'position'
FQ312029.1,97872,98507,Error: 'BeforePosition' object has no attribute 'position'
FQ312029.1,135193,135522,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,344698,345342,Error: 'ExactPosition' object has no attribute 'position'
LR216043.1,1272887,1271961,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,1643078,1642443,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,1647443,1646814,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,1639744,1639067,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,343673,344275,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,130959,131594,Error: 'BeforePosition' object has no attribute 'position'
LR216043.1,162665,162994,Error: 'BeforePosition' object has no attribute 'position'
LR129841.1,316503,317147,No matching CDS
LR129841.1,1256834,1255908,No matching CDS
LR129841.1,1633630,1632956,No matching CDS
LR129841.1,315478,316080,No matching CDS
LR129841.1,97727,98362,No matching CDS
LR129841.1,135048,135377,No matching CDS
CP035262.1,325180,325824,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,1624114,1623338,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,1255194,1254268,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,1633883,1633098,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,1629707,1629003,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,1621707,1621225,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,1621903,1621697,Error: 'ExactPosition' object has no attribute 'position'
CP035262.1,324155,324757,Error: 'BeforePosition' object has no attribute 'position'
CP035262.1,97402,98037,Error: 'BeforePosition' object has no attribute 'position'
CP035262.1,134718,135047,Error: 'BeforePosition' object has no attribute 'position'
CP035258.1,329370,330014,Error: 'ExactPosition' object has no attribute 'position'
CP035258.1,1257994,1257068,Error: 'ExactPosition' object has no attribute 'position'
CP035258.1,328345,328947,Error: 'BeforePosition' object has no attribute 'position'
CP035258.1,117362,117997,Error: 'BeforePosition' object has no attribute 'position'
CP035258.1,155702,156031,Error: 'BeforePosition' object has no attribute 'position'
CP000919.1,320878,321522,Error: 'ExactPosition' object has no attribute 'position'
CP000919.1,1213159,1212233,Error: 'ExactPosition' object has no attribute 'position'
CP000919.1,1592871,1592119,Error: 'ExactPosition' object has no attribute 'position'
CP000919.1,1589267,1588635,Error: 'ExactPosition' object has no attribute 'position'
CP000919.1,1582449,1581772,Error: 'ExactPosition' object has no attribute 'position'
CP000919.1,319853,320455,Error: 'BeforePosition' object has no attribute 'position'
CP000919.1,109799,110434,Error: 'BeforePosition' object has no attribute 'position'
CP000919.1,149389,149718,Error: 'BeforePosition' object has no attribute 'position'
LR216065.1,296034,296678,Error: 'ExactPosition' object has no attribute 'position'
LR216065.1,1205463,1204537,Error: 'BeforePosition' object has no attribute 'position'
LR216065.1,1603256,1602582,Error: 'BeforePosition' object has no attribute 'position'
LR216065.1,295009,295611,Error: 'BeforePosition' object has no attribute 'position'
LR216065.1,77932,78567,Error: 'BeforePosition' object has no attribute 'position'
LR216065.1,115252,115581,Error: 'BeforePosition' object has no attribute 'position'
CP035263.1,315738,316382,Error: 'ExactPosition' object has no attribute 'position'
CP035263.1,1254694,1253768,Error: 'ExactPosition' object has no attribute 'position'
CP035263.1,1629371,1628697,Error: 'ExactPosition' object has no attribute 'position'
CP035263.1,314713,315315,Error: 'BeforePosition' object has no attribute 'position'
CP035263.1,96769,97404,Error: 'BeforePosition' object has no attribute 'position'
CP035263.1,134090,134419,Error: 'BeforePosition' object has no attribute 'position'
LR595848.1,351821,352465,No matching CDS
LR595848.1,1292315,1291389,No matching CDS
LR595848.1,1670777,1670103,No matching CDS
LR595848.1,350796,351398,No matching CDS
LR595848.1,133044,133679,No matching CDS
LR595848.1,170365,170694,No matching CDS
CP131712.1,302114,302758,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,1326015,1325089,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,1705376,1704591,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,1697402,1696767,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,1694068,1693391,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,1701772,1701509,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,1701533,1701138,Error: 'ExactPosition' object has no attribute 'position'
CP131712.1,301089,301691,Error: 'BeforePosition' object has no attribute 'position'
CP131712.1,129417,129746,Error: 'BeforePosition' object has no attribute 'position'
CP131712.1,103827,104462,Error: 'BeforePosition' object has no attribute 'position'
CP001033.1,347120,347764,Error: 'BeforePosition' object has no attribute 'position'
CP001033.1,1341537,1340611,Error: 'ExactPosition' object has no attribute 'position'
CP001033.1,1724149,1723364,Error: 'ExactPosition' object has no attribute 'position'
CP001033.1,1719973,1719269,Error: 'ExactPosition' object has no attribute 'position'
CP001033.1,346095,346697,Error: 'BeforePosition' object has no attribute 'position'
CP001033.1,1711778,1711254,Error: 'ExactPosition' object has no attribute 'position'
CP001033.1,1711930,1711724,Error: 'ExactPosition' object has no attribute 'position'
CP001033.1,98328,98963,Error: 'BeforePosition' object has no attribute 'position'
CP001033.1,135644,135973,Error: 'BeforePosition' object has no attribute 'position'
CP025838.1,328301,328945,Error: 'ExactPosition' object has no attribute 'position'
CP025838.1,1204014,1203088,Error: 'ExactPosition' object has no attribute 'position'
CP025838.1,327265,328038,Error: 'ExactPosition' object has no attribute 'position'
CP025838.1,114659,115294,Error: 'BeforePosition' object has no attribute 'position'
CP025838.1,162807,163136,Error: 'BeforePosition' object has no attribute 'position'
CP131707.1,310966,311610,Error: 'ExactPosition' object has no attribute 'position'
