allele,accession,start,end
gene_OGC1259_group_962,CP035263.1,315738,316382
gene_OGC1259_group_962,CP035263.1,1254694,1253768
gene_OGC1259_group_962,CP035263.1,1629371,1628697
gene_OGC1259_group_962,CP035263.1,314713,315315
gene_OGC1259_group_962,CP035263.1,96769,97404
gene_OGC1259_group_962,CP035263.1,134090,134419
gene_OGC1259_group_962,LR595848.1,351821,352465
gene_OGC1259_group_962,LR595848.1,1292315,1291389
gene_OGC1259_group_962,LR595848.1,1670777,1670103
gene_OGC1259_group_962,LR595848.1,350796,351398
gene_OGC1259_group_962,LR595848.1,133044,133679
gene_OGC1259_group_962,LR595848.1,170365,170694
gene_OGC1259_group_962,CP131712.1,302114,302758
gene_OGC1259_group_962,CP131712.1,1326015,1325089
gene_OGC1259_group_962,CP131712.1,1705376,1704591
gene_OGC1259_group_962,CP131712.1,1697402,1696767
gene_OGC1259_group_962,CP131712.1,1694068,1693391
gene_OGC1259_group_962,CP131712.1,1701772,1701509
gene_OGC1259_group_962,CP131712.1,1701533,1701138
gene_OGC1259_group_962,CP131712.1,301089,301691
gene_OGC1259_group_962,CP131712.1,129417,129746
gene_OGC1259_group_962,CP131712.1,103827,104462
gene_OGC1259_group_962,CP001033.1,347120,347764
gene_OGC1259_group_962,CP001033.1,1341537,1340611
gene_OGC1259_group_962,CP001033.1,1724149,1723364
gene_OGC1259_group_962,CP001033.1,1719973,1719269
gene_OGC1259_group_962,CP001033.1,346095,346697
gene_OGC1259_group_962,CP001033.1,1711778,1711254
gene_OGC1259_group_962,CP001033.1,1711930,1711724
gene_OGC1259_group_962,CP001033.1,98328,98963
gene_OGC1259_group_962,CP001033.1,135644,135973
gene_OGC1259_group_962,CP025838.1,328301,328945
gene_OGC1259_group_962,CP025838.1,1204014,1203088
gene_OGC1259_group_962,CP025838.1,327265,328038
gene_OGC1259_group_962,CP025838.1,114659,115294
gene_OGC1259_group_962,CP025838.1,162807,163136
gene_OGC1259_group_962,CP131707.1,310966,311610
gene_OGC1259_group_962,CP131707.1,1277967,1277041
gene_OGC1259_group_962,CP131707.1,1637312,1636560
gene_OGC1259_group_962,CP131707.1,1633136,1632450
gene_OGC1259_group_962,CP131707.1,1625093,1624416
gene_OGC1259_group_962,CP131707.1,309930,310703
gene_OGC1259_group_962,CP131707.1,139561,139890
gene_OGC1259_group_962,CP131707.1,101313,101948
gene_OGC1259_group_962,AP028607.1,342082,342726
gene_OGC1259_group_962,AP028607.1,1277038,1276112
gene_OGC1259_group_962,AP028607.1,341057,341659
gene_OGC1259_group_962,AP028607.1,168791,169120
gene_OGC1259_group_962,AP028607.1,136570,137205
gene_OGC1259_group_962,LR216037.1,1616303,1615527
gene_OGC1259_group_962,LR216037.1,1259639,1258713
gene_OGC1259_group_962,LR216037.1,1624972,1624220
gene_OGC1259_group_962,LR216037.1,1620796,1620110
gene_OGC1259_group_962,LR216037.1,365247,366173
gene_OGC1259_group_962,LR216037.1,1614092,1613415
gene_OGC1259_group_962,LR216037.1,366247,366606
gene_OGC1259_group_962,LR216037.1,148851,149486
gene_OGC1259_group_962,LS483448.1,1648332,1647556
gene_OGC1259_group_962,LS483448.1,1250530,1249604
gene_OGC1259_group_962,LS483448.1,1657874,1657089
gene_OGC1259_group_962,LS483448.1,1653698,1653012
gene_OGC1259_group_962,LS483448.1,1646121,1645444
gene_OGC1259_group_962,LS483448.1,143025,143660
gene_OGC1259_group_962,LS483448.1,189559,189888
gene_OGC1259_group_962,LR216050.1,1249779,1248853
gene_OGC1259_group_962,LR216050.1,87126,87761
gene_OGC1259_group_962,LR216050.1,119573,119902
gene_OGC1259_group_962,CP118288.1,324326,323400
gene_OGC1259_group_962,CP118288.1,13627,13956
gene_OGC1259_group_962,CP118288.1,1916289,1916924
gene_OGC1259_group_962,CP001015.1,1273218,1272292
gene_OGC1259_group_962,CP001015.1,138854,139183
gene_OGC1259_group_962,CP001015.1,100598,101233
gene_OGC1259_group_962,CP031245.1,1790259,1789333
gene_OGC1259_group_962,CP031245.1,664145,664780
gene_OGC1259_group_962,CP031245.1,702095,702424
gene_OGC1259_group_962,AP018938.1,1259864,1258938
gene_OGC1259_group_962,AP018938.1,133558,134193
gene_OGC1259_group_962,AP018938.1,171508,171837
gene_OGC1259_group_962,LR134294.1,786562,785636
gene_OGC1259_group_962,LR134294.1,1756679,1757314
gene_OGC1259_group_962,LR134294.1,1794629,1794958
gene_OGC1259_group_962,LN847353.1,1177347,1176421
gene_OGC1259_group_962,LN847353.1,98403,99038
gene_OGC1259_group_962,LN847353.1,142837,143166
gene_OGC1259_group_962,CP035260.1,1190858,1189932
gene_OGC1259_group_962,CP035260.1,319526,320203
gene_OGC1259_group_962,CP035260.1,317562,318017
gene_OGC1259_group_962,CP035260.1,102153,102788
gene_OGC1259_group_962,CP035260.1,139222,139551
gene_OGC1259_group_962,LR216027.1,1308698,1307772
gene_OGC1259_group_962,LR216027.1,230697,231026
gene_OGC1259_group_962,LR216027.1,204622,205257
gene_OGC1259_group_962,CP139862.1,1837015,1837941
gene_OGC1259_group_962,CP139862.1,923303,922668
gene_OGC1259_group_962,CP139862.1,891154,890825
gene_OGC1259_group_962,LR216039.1,1258566,1257640
gene_OGC1259_group_962,LR216039.1,381825,382238
gene_OGC1259_group_962,LR216039.1,150822,151457
gene_OGC1259_group_962,LR216039.1,189099,189428
gene_OGC1259_group_962,LR216051.1,1247046,1246120
gene_OGC1259_group_962,LR216051.1,1652509,1651712
gene_OGC1259_group_962,LR216051.1,1638332,1637658
gene_OGC1259_group_962,LR216051.1,1649542,1648871
gene_OGC1259_group_962,LR216051.1,1648681,1648424
gene_OGC1259_group_962,LR216051.1,1647800,1647453
gene_OGC1259_group_962,LR216051.1,136223,136858
gene_OGC1259_group_962,LR216051.1,174160,174489
gene_OGC1259_group_962,LR216063.1,1257683,1256757
gene_OGC1259_group_962,LR216063.1,1612251,1611499
gene_OGC1259_group_962,LR216063.1,1609255,1608626
gene_OGC1259_group_962,LR216063.1,1602288,1601764
gene_OGC1259_group_962,LR216063.1,1602440,1602234
gene_OGC1259_group_962,LR216063.1,106947,107582
gene_OGC1259_group_962,LR216063.1,144841,145170
gene_OGC1259_group_962,LR216014.1,1249974,1249048
gene_OGC1259_group_962,LR216014.1,135043,135678
gene_OGC1259_group_962,LR216014.1,160364,160693
gene_OGC1259_group_962,CP046360.1,1270489,1269563
gene_OGC1259_group_962,CP046360.1,105220,105855
gene_OGC1259_group_962,CP046360.1,137824,138153
gene_OGC1259_group_962,AP026914.1,761461,762387
gene_OGC1259_group_962,AP026914.1,1619058,1618402
gene_OGC1259_group_962,AP026914.1,1616085,1615456
gene_OGC1259_group_962,AP026914.1,1609270,1608593
gene_OGC1259_group_962,AP026914.1,103463,104098
gene_OGC1259_group_962,AP026914.1,141799,142128
gene_OGC1751_group_1520,LR536833.1,390353,391585
gene_OGC1751_group_1520,LR216040.1,363523,364755
gene_OGC1751_group_1520,LR216022.1,456101,457333
gene_OGC1751_group_1520,LR216018.1,414545,415777
gene_OGC1751_group_1520,CP031248.1,1155126,1153894
gene_OGC1751_group_1520,CP026670.1,312203,313435
gene_OGC1751_group_1520,CP155532.1,1876811,1875579
gene_OGC1751_group_1520,CP131710.1,374431,375663
gene_OGC1751_group_1520,CP131706.1,337169,338401
gene_OGC1751_group_1520,AP018044.1,2054269,2055501
gene_OGC1751_group_1520,CP137100.1,1443283,1444515
gene_OGC1751_group_1520,AP028604.1,395114,396346
gene_OGC1751_group_1520,AP028603.1,395114,396346
gene_OGC1751_group_1520,AP026918.1,324672,325904
gene_OGC1751_group_1520,CP113267.1,1734761,1733529
gene_OGC1751_group_1520,CP035265.1,338755,339987
gene_OGC1751_group_1520,CP035264.1,374853,376085
gene_OGC1751_group_1520,FM211187.1,312203,313435
gene_OGC1751_group_1520,CR931685.1,10526,11758
gene_OGC1751_group_1520,CR931683.1,9962,11194
gene_OGC1751_group_1520,AF057294.1,10685,11917
gene_OGC1751_group_1520,CP016633.2,333635,334867
gene_OGC1751_group_1520,CP016632.2,335981,337213
gene_OGC1751_group_1520,AF030373.1,11144,12376
gene_OGC1751_group_1520,CP016227.1,350867,351961
gene_OGC1751_group_1520,CP016227.1,351958,352098
gene_OGC1751_group_1520,LT594598.1,11215,12441
gene_OGC1751_group_1520,CR931684.1,11224,12450
gene_OGC1751_group_1520,AY163197.1,2,121
gene_OGC1751_group_1520,AY163191.1,2,121
gene_OGC1751_group_1520,AY163196.1,2,121
gene_OGC1751_group_1520,AY163193.1,2,121
